graduate_id,gender,jurisdiction,course,course_type,cohort
1,Female,CABA,FullStack Python,4.0,2021-1
2,Male,Other Provinces,FullStack Python,4.0,2020-2
3,Female,Buenos Aires Province,Big Data,4.0,2020-2
4,Male,Buenos Aires Province,Big Data,Advanced,2020-2
5,Male,Buenos Aires Province,Big Data,4.0,2020-2
6,Female,CABA,FullStack Python,4.0,2022-1
7,Female,CABA,FullStack Java,4.0,2022-1
8,Male,CABA,Testing QA,4.0,2021-1
9,Female,Buenos Aires Province,Testing QA,4.0,2021-2
10,Male,Buenos Aires Province,Testing QA,Advanced,2021-2
11,Male,CABA,FullStack Python,4.0,2021-1
12,Male,Buenos Aires Province,FullStack Python,Initial Programming,2022-1
13,Male,Buenos Aires Province,FullStack Java,4.0,2021-2
14,Male,CABA,Big Data,Advanced,2022-1
15,Female,Buenos Aires Province,UX/UI Design,Advanced,2021-2
16,Female,Buenos Aires Province,Testing QA,4.0,2021-1
17,Female,Buenos Aires Province,Big Data,4.0,2022-1
18,Male,Buenos Aires Province,Big Data,4.0,2022-1
19,Male,Buenos Aires Province,Testing QA,4.0,2020-2
20,Male,CABA,FullStack PHP,4.0,2022-1
21,Female,CABA,FullStack Python,Initial Programming,2022-1
22,Male,CABA,Big Data,4.0,2022-1
23,Male,Buenos Aires Province,Testing QA,4.0,2021-2
24,Female,Buenos Aires Province,Testing QA,4.0,2021-2
25,Female,Other Provinces,UX/UI Design,Advanced,2021-1
26,Female,Buenos Aires Province,FullStack PHP,4.0,2022-1
27,Female,Buenos Aires Province,UX/UI Design,Initial Programming,2021-2
28,Female,CABA,FullStack PHP,Advanced,2020-2
29,Female,CABA,FullStack Java,4.0,2021-1
30,Male,Buenos Aires Province,UX/UI Design,4.0,2020-2
31,Female,Buenos Aires Province,FullStack Java,Initial Programming,2022-1
32,Female,Buenos Aires Province,FullStack Java,4.0,2022-1
33,Male,CABA,Big Data,4.0,2021-1
34,Female,Buenos Aires Province,Big Data,Advanced,2022-1
35,Female,Other Provinces,FullStack Java,4.0,2022-1
36,Male,CABA,Testing QA,Advanced,2021-1
37,Female,Other Provinces,UX/UI Design,4.0,2020-2
38,Female,Buenos Aires Province,Big Data,4.0,2021-1
39,Female,Buenos Aires Province,FullStack Java,Advanced,2021-2
40,Female,Buenos Aires Province,FullStack Python,4.0,2020-2
41,Female,Buenos Aires Province,UX/UI Design,4.0,2021-2
42,Male,Other Provinces,UX/UI Design,4.0,2020-2
43,Female,Buenos Aires Province,Big Data,4.0,2021-1
44,Male,Buenos Aires Province,FullStack JavaScript / Node.js,4.0,2021-1
45,Female,CABA,Testing QA,4.0,2022-1
46,Male,CABA,Testing QA,4.0,2020-2
47,Female,Buenos Aires Province,FullStack Python,4.0,2021-2
48,Male,Other Provinces,FullStack Python,Advanced,2020-2
49,Female,Buenos Aires Province,FullStack Python,Advanced,2020-2
50,Female,CABA,FullStack PHP,4.0,2021-2
51,Male,Buenos Aires Province,UX/UI Design,4.0,2020-2
52,Male,Buenos Aires Province,UX/UI Design,Initial Programming,2021-2
53,Male,Buenos Aires Province,FullStack JavaScript / Node.js,4.0,2021-2
54,Male,Buenos Aires Province,FullStack PHP,4.0,2021-1
55,Male,CABA,FullStack JavaScript / Node.js,4.0,2021-2
56,Male,Buenos Aires Province,Testing QA,Advanced,2021-1
57,Female,CABA,FullStack Java,4.0,2021-2
58,Male,Buenos Aires Province,Testing QA,4.0,2022-1
59,Male,Other Provinces,FullStack PHP,Advanced,2021-2
60,Male,CABA,FullStack Python,4.0,2020-2
61,Male,Buenos Aires Province,FullStack JavaScript / Node.js,4.0,2021-1
62,Male,Buenos Aires Province,FullStack PHP,Advanced,2021-1
63,Male,CABA,FullStack Python,4.0,2021-2
64,Female,Buenos Aires Province,Big Data,Initial Programming,2020-2
65,Male,CABA,Testing QA,4.0,2020-2
66,Female,Buenos Aires Province,Big Data,4.0,2020-2
67,Male,Other Provinces,FullStack Python,4.0,2022-1
68,Male,Buenos Aires Province,FullStack Java,Advanced,2020-2
69,Female,Buenos Aires Province,Big Data,4.0,2020-2
70,Male,CABA,FullStack JavaScript / Node.js,4.0,2020-2
71,Female,Buenos Aires Province,FullStack Java,4.0,2022-1
72,Male,Buenos Aires Province,Big Data,4.0,2021-2
73,Male,Buenos Aires Province,Testing QA,4.0,2021-2
74,Female,CABA,FullStack PHP,4.0,2020-2
75,Female,CABA,FullStack JavaScript / Node.js,4.0,2021-1
76,Female,Buenos Aires Province,FullStack PHP,4.0,2021-1
77,Male,Buenos Aires Province,FullStack Python,Advanced,2020-2
78,Male,Buenos Aires Province,FullStack Python,Advanced,2022-1
79,Male,Buenos Aires Province,Big Data,4.0,2021-1
80,Male,Buenos Aires Province,FullStack PHP,4.0,2021-2
81,Male,Buenos Aires Province,FullStack PHP,4.0,2022-1
82,Male,Other Provinces,FullStack PHP,Initial Programming,2021-2
83,Male,Buenos Aires Province,FullStack Python,Advanced,2022-1
84,Male,CABA,UX/UI Design,4.0,2021-1
85,Female,Buenos Aires Province,FullStack Python,4.0,2021-2
86,Female,Buenos Aires Province,FullStack JavaScript / Node.js,4.0,2020-2
87,Male,Other Provinces,FullStack PHP,Initial Programming,2020-2
88,Male,Other Provinces,FullStack Java,4.0,2020-2
89,Female,CABA,Testing QA,4.0,2021-2
90,Female,Other Provinces,FullStack Python,4.0,2021-2
91,Male,Buenos Aires Province,FullStack PHP,4.0,2021-1
92,Female,Buenos Aires Province,UX/UI Design,4.0,2021-1
93,Female,Other Provinces,UX/UI Design,4.0,2021-1
94,Female,CABA,FullStack PHP,4.0,2022-1
95,Male,CABA,Big Data,4.0,2021-2
96,Male,CABA,Testing QA,4.0,2020-2
97,Male,CABA,FullStack Python,4.0,2022-1
98,Female,CABA,Testing QA,4.0,2021-2
99,Female,Other Provinces,FullStack JavaScript / Node.js,4.0,2020-2
100,Male,CABA,FullStack Python,4.0,2020-2
101,Male,Buenos Aires Province,Big Data,4.0,2021-2
102,Male,CABA,FullStack PHP,4.0,2021-1
103,Female,Buenos Aires Province,UX/UI Design,4.0,2020-2
104,Male,Other Provinces,FullStack JavaScript / Node.js,4.0,2020-2
105,Female,CABA,FullStack JavaScript / Node.js,4.0,2021-1
106,Female,CABA,FullStack PHP,4.0,2020-2
107,Male,CABA,FullStack JavaScript / Node.js,4.0,2022-1
108,Male,CABA,UX/UI Design,Advanced,2022-1
109,Male,Buenos Aires Province,FullStack Python,4.0,2021-1
110,Male,Other Provinces,FullStack PHP,4.0,2021-1
111,Female,CABA,FullStack JavaScript / Node.js,4.0,2021-2
112,Male,Buenos Aires Province,Big Data,Advanced,2022-1
113,Female,CABA,FullStack Java,4.0,2021-2
114,Male,CABA,FullStack Java,4.0,2021-1
115,Other,Buenos Aires Province,Testing QA,4.0,2022-1
116,Male,Buenos Aires Province,Testing QA,4.0,2021-1
117,Female,Buenos Aires Province,Testing QA,Advanced,2020-2
118,Female,CABA,FullStack PHP,4.0,2021-1
119,Male,Other Provinces,Big Data,4.0,2021-2
120,Male,CABA,FullStack JavaScript / Node.js,4.0,2022-1
121,Female,CABA,FullStack PHP,4.0,2021-1
122,Female,Buenos Aires Province,FullStack Java,4.0,2022-1
123,Male,Other Provinces,FullStack Python,4.0,2020-2
124,Female,Other Provinces,FullStack PHP,Initial Programming,2020-2
125,Female,CABA,UX/UI Design,4.0,2021-2
126,Female,Buenos Aires Province,Big Data,Advanced,2020-2
127,Female,CABA,Testing QA,Initial Programming,2021-2
128,Male,CABA,Testing QA,4.0,2022-1
129,Female,Buenos Aires Province,FullStack Python,4.0,2020-2
130,Male,Buenos Aires Province,FullStack PHP,Advanced,2020-2
131,Female,Buenos Aires Province,FullStack JavaScript / Node.js,4.0,2020-2
132,Female,Other Provinces,FullStack Java,4.0,2021-2
133,Male,Buenos Aires Province,Big Data,4.0,2021-2
134,Male,Buenos Aires Province,FullStack Java,4.0,2021-1
135,Other,Other Provinces,FullStack Java,4.0,2020-2
136,Male,Other Provinces,Testing QA,Advanced,2020-2
137,Male,Other Provinces,UX/UI Design,Initial Programming,2021-1
138,Female,Buenos Aires Province,UX/UI Design,4.0,2020-2
139,Male,Buenos Aires Province,FullStack Python,4.0,2021-1
140,Female,Buenos Aires Province,FullStack JavaScript / Node.js,4.0,2021-2
141,Male,CABA,FullStack PHP,4.0,2021-1
142,Female,CABA,FullStack PHP,Initial Programming,2021-1
143,Male,CABA,FullStack Python,4.0,2021-1
144,Female,Other Provinces,Testing QA,4.0,2021-1
145,Male,Buenos Aires Province,UX/UI Design,4.0,2021-2
146,Female,Buenos Aires Province,FullStack Python,4.0,2020-2
147,Female,Other Provinces,UX/UI Design,4.0,2020-2
148,Male,Other Provinces,FullStack JavaScript / Node.js,Initial Programming,2022-1
149,Female,Buenos Aires Province,Testing QA,Advanced,2021-2
150,Female,CABA,UX/UI Design,4.0,2021-1
151,Female,Other Provinces,FullStack PHP,4.0,2021-2
152,Male,Buenos Aires Province,FullStack PHP,4.0,2021-1
153,Female,CABA,Big Data,4.0,2022-1
154,Female,Other Provinces,FullStack JavaScript / Node.js,4.0,2021-2
155,Female,Buenos Aires Province,FullStack JavaScript / Node.js,Advanced,2021-1
156,Female,CABA,FullStack JavaScript / Node.js,4.0,2020-2
157,Male,Other Provinces,UX/UI Design,Initial Programming,2021-1
158,Male,CABA,FullStack JavaScript / Node.js,4.0,2022-1
159,Male,Other Provinces,UX/UI Design,4.0,2022-1
160,Female,CABA,FullStack Python,4.0,2022-1
161,Male,Buenos Aires Province,FullStack Python,4.0,2020-2
162,Male,Buenos Aires Province,Testing QA,Advanced,2020-2
163,Male,CABA,FullStack PHP,4.0,2022-1
164,Other,CABA,FullStack JavaScript / Node.js,4.0,2020-2
165,Female,Buenos Aires Province,FullStack Java,4.0,2021-2
166,Female,Buenos Aires Province,FullStack PHP,Initial Programming,2020-2
167,Male,Other Provinces,FullStack JavaScript / Node.js,4.0,2022-1
168,Female,Buenos Aires Province,UX/UI Design,Initial Programming,2021-1
169,Female,CABA,Big Data,4.0,2021-1
170,Female,Other Provinces,UX/UI Design,4.0,2022-1
171,Female,CABA,FullStack Python,Initial Programming,2021-1
172,Male,CABA,Big Data,4.0,2022-1
173,Male,CABA,FullStack Python,4.0,2022-1
174,Male,Other Provinces,FullStack PHP,4.0,2021-1
175,Female,Buenos Aires Province,Testing QA,Initial Programming,2021-1
176,Male,Buenos Aires Province,FullStack Python,Advanced,2021-1
177,Female,CABA,Testing QA,4.0,2020-2
178,Female,CABA,Testing QA,4.0,2022-1
179,Female,CABA,UX/UI Design,4.0,2021-1
180,Female,Buenos Aires Province,Big Data,4.0,2022-1
181,Male,Buenos Aires Province,Testing QA,Initial Programming,2020-2
182,Male,Buenos Aires Province,UX/UI Design,4.0,2022-1
183,Female,Buenos Aires Province,FullStack PHP,Initial Programming,2020-2
184,Female,Buenos Aires Province,FullStack PHP,4.0,2021-1
185,Female,CABA,FullStack Python,Advanced,2021-2
186,Female,Other Provinces,FullStack Python,Initial Programming,2021-2
187,Female,CABA,Big Data,4.0,2022-1
188,Other,CABA,FullStack Java,Advanced,2021-1
189,Other,Buenos Aires Province,FullStack Java,Advanced,2020-2
190,Female,CABA,FullStack Java,4.0,2022-1
191,Male,Buenos Aires Province,Testing QA,Advanced,2020-2
192,Female,CABA,FullStack Python,4.0,2021-2
193,Female,Buenos Aires Province,UX/UI Design,4.0,2021-1
194,Male,CABA,FullStack Python,Advanced,2020-2
195,Male,Buenos Aires Province,Testing QA,Advanced,2021-2
196,Female,Other Provinces,FullStack Java,4.0,2021-2
197,Male,Buenos Aires Province,FullStack JavaScript / Node.js,4.0,2022-1
198,Male,CABA,FullStack PHP,4.0,2021-1
199,Male,Other Provinces,Big Data,4.0,2020-2
200,Female,Buenos Aires Province,Big Data,Initial Programming,2021-1
201,Male,Other Provinces,FullStack JavaScript / Node.js,Initial Programming,2020-2
202,Female,Buenos Aires Province,FullStack Python,Advanced,2021-1
203,Female,CABA,FullStack Java,4.0,2021-2
204,Male,CABA,FullStack PHP,4.0,2021-2
205,Male,CABA,FullStack Java,4.0,2021-2
206,Female,Buenos Aires Province,Big Data,Advanced,2021-1
207,Female,Other Provinces,FullStack Python,4.0,2022-1
208,Male,Buenos Aires Province,FullStack Python,4.0,2021-1
209,Male,Buenos Aires Province,Testing QA,4.0,2021-2
210,Female,Other Provinces,FullStack Python,4.0,2020-2
211,Male,CABA,FullStack Python,4.0,2021-2
212,Male,CABA,FullStack PHP,Initial Programming,2021-2
213,Male,Other Provinces,FullStack Java,Advanced,2020-2
214,Other,CABA,Big Data,4.0,2021-2
215,Other,Buenos Aires Province,Testing QA,4.0,2021-1
216,Male,Buenos Aires Province,FullStack PHP,4.0,2020-2
217,Male,Buenos Aires Province,FullStack Python,Initial Programming,2021-2
218,Male,CABA,Big Data,4.0,2022-1
219,Male,Buenos Aires Province,Testing QA,Advanced,2021-2
220,Female,CABA,Big Data,4.0,2021-2
221,Male,Buenos Aires Province,Big Data,4.0,2022-1
222,Male,Buenos Aires Province,FullStack PHP,4.0,2021-1
223,Female,Other Provinces,FullStack Python,4.0,2021-2
224,Male,CABA,Testing QA,4.0,2020-2
225,Male,Other Provinces,FullStack Python,4.0,2021-1
226,Female,CABA,FullStack JavaScript / Node.js,4.0,2020-2
227,Female,Other Provinces,FullStack Python,Advanced,2020-2
228,Female,Other Provinces,Big Data,Advanced,2021-2
229,Female,Buenos Aires Province,FullStack Python,Initial Programming,2021-1
230,Female,CABA,FullStack Java,4.0,2021-2
231,Male,Buenos Aires Province,FullStack Java,Advanced,2021-1
232,Female,CABA,FullStack PHP,4.0,2020-2
233,Female,Buenos Aires Province,FullStack Java,4.0,2021-2
234,Female,Buenos Aires Province,FullStack Java,4.0,2021-1
235,Female,CABA,FullStack Java,Initial Programming,2022-1
236,Female,CABA,FullStack Python,4.0,2020-2
237,Female,CABA,FullStack JavaScript / Node.js,4.0,2022-1
238,Female,Buenos Aires Province,FullStack PHP,4.0,2022-1
239,Male,CABA,Testing QA,4.0,2021-1
240,Male,Buenos Aires Province,FullStack PHP,4.0,2020-2
241,Other,Buenos Aires Province,FullStack JavaScript / Node.js,4.0,2021-1
242,Female,Other Provinces,FullStack Python,Advanced,2022-1
243,Female,CABA,FullStack Python,4.0,2022-1
244,Female,Other Provinces,UX/UI Design,4.0,2021-2
245,Male,Buenos Aires Province,FullStack Python,4.0,2021-2
246,Male,Other Provinces,FullStack JavaScript / Node.js,Advanced,2022-1
247,Female,Buenos Aires Province,FullStack Java,Advanced,2022-1
248,Female,CABA,Testing QA,4.0,2021-2
249,Male,CABA,Big Data,4.0,2022-1
250,Male,Buenos Aires Province,FullStack Java,Initial Programming,2020-2
251,Male,Buenos Aires Province,FullStack JavaScript / Node.js,Advanced,2022-1
252,Female,CABA,UX/UI Design,4.0,2022-1
253,Female,CABA,Testing QA,4.0,2022-1
254,Male,Buenos Aires Province,Testing QA,4.0,2021-2
255,Male,CABA,FullStack Python,4.0,2020-2
256,Male,Buenos Aires Province,Testing QA,4.0,2022-1
257,Female,Buenos Aires Province,FullStack Java,Advanced,2020-2
258,Male,CABA,FullStack JavaScript / Node.js,4.0,2020-2
259,Male,Buenos Aires Province,FullStack PHP,4.0,2022-1
260,Female,Buenos Aires Province,Big Data,Advanced,2020-2
261,Female,CABA,FullStack PHP,4.0,2020-2
262,Male,Buenos Aires Province,FullStack JavaScript / Node.js,4.0,2021-2
263,Female,Buenos Aires Province,UX/UI Design,4.0,2021-1
264,Male,CABA,FullStack PHP,4.0,2021-2
265,Male,Other Provinces,FullStack Python,Initial Programming,2021-2
266,Other,Buenos Aires Province,FullStack PHP,4.0,2022-1
267,Male,Other Provinces,Big Data,4.0,2021-2
268,Male,Other Provinces,Big Data,Initial Programming,2021-2
269,Female,CABA,Big Data,Advanced,2021-1
270,Female,Buenos Aires Province,FullStack Python,4.0,2021-2
271,Male,Buenos Aires Province,FullStack JavaScript / Node.js,4.0,2021-1
272,Male,Buenos Aires Province,UX/UI Design,4.0,2022-1
273,Male,Buenos Aires Province,FullStack JavaScript / Node.js,4.0,2021-1
274,Female,Other Provinces,UX/UI Design,Advanced,2021-1
275,Female,Buenos Aires Province,UX/UI Design,4.0,2022-1
276,Male,Other Provinces,UX/UI Design,4.0,2020-2
277,Female,Other Provinces,Testing QA,4.0,2022-1
278,Male,Buenos Aires Province,FullStack JavaScript / Node.js,4.0,2021-1
279,Female,Buenos Aires Province,Testing QA,Advanced,2022-1
280,Female,CABA,FullStack JavaScript / Node.js,4.0,2020-2
281,Male,Other Provinces,UX/UI Design,4.0,2021-2
282,Female,Buenos Aires Province,FullStack Java,Initial Programming,2020-2
283,Other,Buenos Aires Province,FullStack Python,Advanced,2021-2
284,Female,Buenos Aires Province,FullStack Python,Initial Programming,2020-2
285,Female,Buenos Aires Province,Testing QA,4.0,2021-2
286,Female,CABA,FullStack PHP,4.0,2020-2
287,Female,Buenos Aires Province,FullStack Python,Initial Programming,2020-2
288,Male,Buenos Aires Province,FullStack PHP,Advanced,2021-2
289,Male,Other Provinces,FullStack PHP,4.0,2020-2
290,Female,Buenos Aires Province,FullStack JavaScript / Node.js,Initial Programming,2021-2
291,Female,Other Provinces,Testing QA,4.0,2021-2
292,Female,CABA,FullStack PHP,4.0,2021-2
293,Male,Buenos Aires Province,Big Data,4.0,2022-1
294,Male,Buenos Aires Province,FullStack Python,Initial Programming,2021-2
295,Male,Buenos Aires Province,FullStack Java,4.0,2022-1
296,Female,Buenos Aires Province,Testing QA,4.0,2021-2
