respondent_id,graduate_id,age_group,highest_education_level,programming_level_before,programming_level_after,employment_before,employment_after,employment_type_before,employment_type_after,it_before,it_after,programmer_after,continued_studying,post_training_study_type,course,cohort,improved_job_profile,interested_job_opportunities
1,2284,Under 25,University Incomplete,Trainee,Junior,Employed,Employed,Own Business,Informal Worker,False,False,False,False,,Big Data,2022-1,Quite a Bit,True
2,2019,25-34,University Incomplete,No Programming Knowledge,Trainee,Unemployed and Looking for Work,Unemployed and Not Looking for Work,Own Business,Employee,False,False,False,True,Paid Quarterly Course;Free Annual Course;Paid Annual Course,FullStack Java,2021-2,A Lot,True
3,843,Under 25,Tertiary Incomplete,Semi Senior,Junior,Employed,Unemployed and Looking for Work,Informal Worker,Self-employed,False,False,False,True,Paid Quarterly Course;Paid Annual Course,Big Data,2022-1,Neutral,True
4,2432,45+,Secondary Incomplete,Junior,Semi Senior,Employed,Employed,Own Business,Own Business,False,True,False,True,Free Quarterly Course;Paid Annual Course;Paid Quarterly Course,FullStack Python,2020-2,Neutral,True
5,1514,25-34,University Complete,Junior,Trainee,Employed,Employed,Employee,Self-employed,False,True,True,True,Other;Free University Education;Free Quarterly Course,UX/UI Design,2022-1,A Lot,False
6,516,Under 25,University Incomplete,Trainee,Trainee,Employed,Employed,Employee,Employee,False,True,True,True,Paid Annual Course,FullStack Python,2020-2,A Little,True
7,2148,Under 25,Secondary Incomplete,No Programming Knowledge,Junior,Unemployed and Not Looking for Work,Unemployed and Not Looking for Work,Informal Worker,Self-employed,False,False,False,False,,FullStack Java,2021-2,A Lot,False
8,2122,45+,University Incomplete,Trainee,Trainee,Retired,Unemployed and Looking for Work,Employee,Self-employed,False,False,False,False,,FullStack PHP,2021-1,Quite a Bit,True
9,1942,35-44,Tertiary Complete,Junior,Junior,Employed,Unemployed and Looking for Work,Self-employed,Employee,False,False,False,False,,Testing QA,2022-1,A Lot,False
10,2287,35-44,University Complete,Junior,Trainee,Employed,Employed,Own Business,Self-employed,False,True,True,True,Paid Tertiary Education,FullStack JavaScript / Node.js,2022-1,A Lot,True
11,411,35-44,University Incomplete,Semi Senior,Junior,Unemployed and Looking for Work,Employed,Informal Worker,Employee,False,True,True,False,,FullStack Python,2021-1,A Lot,False
12,1229,Under 25,University Incomplete,Semi Senior,Semi Senior,Employed,Employed,Informal Worker,Self-employed,False,False,False,False,,FullStack PHP,2021-2,A Lot,True
13,88,Under 25,University Incomplete,No Programming Knowledge,Trainee,Unemployed and Looking for Work,Unemployed and Looking for Work,Employee,Self-employed,False,False,False,True,Free University Education;Paid Quarterly Course,FullStack Java,2020-2,Neutral,True
